name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level,Kelurahan
Bungtagor Lecker,"Jalan Srimahi II No.29, Ancol",-6.9369904,107.6155835,OPERATIONAL,4.4,18,"restaurant, food, point_of_interest, establishment",Unknown,Ancol
Ayam Jogja Oven,"Jalan Pasirluyu Timur No.31b, Ancol",-6.940397700000001,107.6163274,OPERATIONAL,4.5,10,"restaurant, food, point_of_interest, establishment",Unknown,Ancol
Mie Roemah,"Jalan Pasir Luyu V No.4, Ancol",-6.9407984,107.6168409,OPERATIONAL,4.6,784,"restaurant, food, point_of_interest, establishment",Unknown,Ancol
Ganbei22,"Jalan Pasirluyu Barat No.22, Ancol",-6.940252600000001,107.6159454,OPERATIONAL,4.9,10,"restaurant, food, point_of_interest, establishment",Unknown,Ancol
Kedai Ayam Cep Deden,"3J58+HCJ, Jalan Pasirluyu Barat, Ancol",-6.941048799999999,107.6160065,OPERATIONAL,5,5,"restaurant, food, point_of_interest, establishment",Unknown,Ancol
warung welcome *tanteu,"Jalan Srisuci No.14, Ancol",-6.940499,107.615486,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,Ancol
Waroeng Tengah Poe,Jalan Srisuci No.14,-6.940474999999998,107.615418,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown,Ancol
Garsela -Mie Baso Kuah,"Jalan Pasirluyu Barat No.40, Ancol",-6.941521099999999,107.6158654,OPERATIONAL,4.6,229,"restaurant, food, point_of_interest, establishment",1,Ancol
PICTA Antapani,"Jalan Sukanagara Kelurahan No.66, Antapani Kidul",-6.921608099999999,107.6603079,OPERATIONAL,4.6,27,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Kidul
Citra Mandiri,"Jalan Indramayu No.8, Antapani Kidul",-6.918097500000001,107.6574288,OPERATIONAL,4.4,5,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Kidul
Kaneela Crust Pie,Jalan Kadipaten I No.55,-6.917613800000001,107.6574912,OPERATIONAL,4.9,277,"bakery, store, restaurant, food, point_of_interest, establishment",2,Antapani Kidul
Mie Baso Seroja Putra,"Jalan Purwakarta No.146, Antapani Kidul",-6.917369799999999,107.6567419,OPERATIONAL,4.2,69,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Kidul
Bakmi Jogja,"Jl. Indramayu No. 12 Antapani Kidul Antapani%28Cicadas%29 Bandung Jawa Barat, Antapani Kidul",-6.922491499999999,107.6598948,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Kidul
Restu Bundo,"Jl. Purwakarta No. 226 Antapani Kidul Antapani%28Cicadas%29 Bandung Jawa Barat, Antapani Kidul",-6.922491499999999,107.6598948,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Kidul
Waroeng Ungu Lima Belas rumah Makan & Butik,"Jalan Purwakarta Raya No.15, Cicadas",-6.922491499999999,107.6598948,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Kidul
Ganti Salero,"Jl. Purwakarta No. 68 Antapani Kidul Antapani%28Cicadas%29 Bandung Jawa Barat, Antapani Kidul",-6.922491499999999,107.6598948,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Kidul
Hungry and Thirsty (Hurry),"Jalan Banjarnegara No.2, Antapani Kidul",-6.9234182,107.6592442,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Kidul
Siomay ikan tenggiri 78,"008 no.33b, Jalan Purwokerto No.005 blok J6",-6.922364799999999,107.6587999,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Kidul
Warung Kayla,"3MG5+6JX, Antapani Kidul",-6.9243774,107.6591227,OPERATIONAL,4.2,5,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Kidul
SARANG BABAKAN SARI 2,"Jalan Sari Wates Timur III No.19, RT.02/RW.16",-6.924321399999999,107.6590245,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Kidul
BANA Bakakak Sarjana Antapani,"Jalan Sukanagara No.88, Antapani Kidul",-6.922372200000001,107.6612158,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Kidul
MACA Antapani,"Jalan Sukanagara No.62C, Antapani Kidul",-6.921616900000001,107.6600767,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Kidul
Batagor Doeloe,"3MG5+6HR, Jalan Sari Wates Timur III, Antapani Kidul",-6.9243986,107.6588799,OPERATIONAL,4.9,7,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Kidul
Warung Seblak khan,"rumah orange, Gang Tarumasari No.77, RT.03/RW.05, Antapani Kulon",-6.9099802,107.6566588,OPERATIONAL,Unknown,Unknown,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown,Antapani Kulon
Warung nasi pangkalan oli,"Jalan Kalijati Indah â¥ No.6, Antapani Kulon",-6.909501799999998,107.6561915,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Kulon
Warung bocil,"Gang Tarumasari No.107, Antapani Kulon",-6.909827,107.656987,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Kulon
"Es.(Ea Campur, Es Teller, Es jus)antapani","3MR4+2VJ, Gang RA. Wijaya, Antapani Kulon",-6.909922099999999,107.6571281,OPERATIONAL,4.3,6,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Kulon
Kedai Seblak Teh Ita,Jalan Terusan Kalijati 1A No.7,-6.910209699999999,107.6553718,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Kulon
warung mamih TS 89,Antapani Kulon,-6.9102079,107.657319,OPERATIONAL,5,3,"restaurant, meal_takeaway, food, point_of_interest, establishment",Unknown,Antapani Kulon
Dapur_mommy,"3MR4+5W3, Jalan Antapani Gang Abureja, Antapani Kulon",-6.909603,107.6572864,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Kulon
"Balad Nyemil Antapani ( Agen Cuanki Hegar, Cireng Isi & Baso Tasik","Jalan Terusan Sindang Barang Gang. H. Sukin No.73A, Antapani Kulon",-6.9106013,107.6573845,CLOSED_TEMPORARILY,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Kulon
Es campur eyang,"Ruko cicaheum, Jalan Antapani Lama No.28",-6.9094476,107.657484,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Kulon
"Pecel Lele Putra Ronggolawe 06, ANTAPANI KULON","Jalan Antapani Lama No.28, Antapani Kulon",-6.909440999999999,107.6574981,OPERATIONAL,4.6,121,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Kulon
BASO MANG IING,"Jalan Antapani Lama No.39, Cicaheum",-6.909854799999999,107.6577312,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Kulon
RM. Ayam Goreng Ninit,"Jalan Cibatu Raya No.45, Antapani Tengah",-6.9171094,107.6639977,OPERATIONAL,4.4,38,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown,Antapani Tengah
Angkringan Jogja,"Jalan Cibatu Raya No.45, Antapani Tengah",-6.917040600000001,107.6640243,OPERATIONAL,4.6,91,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Tengah
RM Ikasari,"Jalan Cibatu Raya No.56, Antapani Tengah",-6.9167816,107.6639802,OPERATIONAL,5.0,2,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Tengah
Surabi Kuningan,"Jalan Kuningan Raya No.113, Antapani Tengah",-6.919285800000001,107.6632292,OPERATIONAL,4.2,45,"restaurant, food, point_of_interest, establishment",1,Antapani Tengah
RM Dapur Makassar,"Jl.Jendral Abdul Haris Nasution No.928 M, Ruko Bumi Mas Kencana, Antapani, Wetan,, Antapani, Antapani Wetan",-6.904094,107.663598,OPERATIONAL,4.1,7,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Wetan
Martabak babeh,"Jalan Terusan Jakarta No.313, Antapani Wetan",-6.9147431,107.665869,OPERATIONAL,4.7,25,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Wetan
PANASCUK,"Jalan Sindang Sari Utama No.3, Antapani Wetan",-6.909101199999999,107.6638341,OPERATIONAL,4.7,3,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Wetan
