name,address,lat,lng,rating,user_ratings_total
Parkiran teduh salamun,"4JP3+GXF, Ciumbuleuit",-6.863678399999999,107.6049149,Unknown,Unknown
Rumah Sakit Angkatan Udara (RSAU) dr. M. Salamun,"Jalan Ciumbuleuit No.203, Ciumbuleuit",-6.863781000000001,107.605075,4.5,2673
Rumah Sakit Angkatan Udara (RSAU) dr. M. Salamun,"Jalan Ciumbuleuit No.203, Ciumbuleuit",-6.863781000000001,107.605075,4.5,2673
Parkiran teduh salamun,"4JP3+GXF, Ciumbuleuit",-6.863678399999999,107.6049149,Unknown,Unknown
Parkiran teduh salamun,"4JP3+GXF, Ciumbuleuit",-6.863678399999999,107.6049149,Unknown,Unknown
Rumah Sakit Angkatan Udara (RSAU) dr. M. Salamun,"Jalan Ciumbuleuit No.203, Ciumbuleuit",-6.863781000000001,107.605075,4.5,2673
RS Salamun Paviliun Firdaus,"Jalan Panumbang Jaya No.22, Ciumbuleuit",-6.8647958,107.6050409,5,3
Gugun pijat,"4JQF+QW8, Jalan Dago, bengkok, Ciumbuleuit",-6.860592,107.624838,Unknown,Unknown
Paviliun Firdaus Buana 9,"Jalan Ciumbuleuit No.203, Ciumbuleuit",-6.8647322,107.6049632,Unknown,Unknown
RS Salamun Paviliun Firdaus,"Jalan Panumbang Jaya No.22, Ciumbuleuit",-6.8647958,107.6050409,5,3
Puskesmas Dadali Ciumbuleuit,"4JM4+P67, Ciumbuleuit",-6.8657144,107.6055415,2.5,4
Gugun pijat,"4JQF+QW8, Jalan Dago, bengkok, Ciumbuleuit",-6.860592,107.624838,Unknown,Unknown
Klinik Bedah Umum,"4JP3+2V5, Ciumbuleuit",-6.864995700000001,107.6047471,3,2
Ruang Gelatik (Perawatan Pasien Pasca Bedah),"4JP3+2V5, Ciumbuleuit",-6.864995700000001,107.6047471,5,1
Ruang ICU/ICCU (Perawatan Intensif),"4JP3+2V5, Ciumbuleuit",-6.864995700000001,107.6047471,Unknown,Unknown
Klinik Saraf,"4JP3+2V5, Ciumbuleuit",-6.864995700000001,107.6047471,Unknown,Unknown
Klinik Gigi dan Mulut : Klinik Orthodontie dan Bedah Mulut,"4JP3+2V5, Ciumbuleuit",-6.864995700000001,107.6047471,Unknown,Unknown
Paviliun Firdaus Buana 9,"Jalan Ciumbuleuit No.203, Ciumbuleuit",-6.8647322,107.6049632,Unknown,Unknown
RS Salamun Paviliun Firdaus,"Jalan Panumbang Jaya No.22, Ciumbuleuit",-6.8647958,107.6050409,5,3
Klinik Bedah Umum,"4JP3+2V5, Ciumbuleuit",-6.864995700000001,107.6047471,3,2
Ruang Gelatik (Perawatan Pasien Pasca Bedah),"4JP3+2V5, Ciumbuleuit",-6.864995700000001,107.6047471,5,1
Ruang ICU/ICCU (Perawatan Intensif),"4JP3+2V5, Ciumbuleuit",-6.864995700000001,107.6047471,Unknown,Unknown
Klinik Saraf,"4JP3+2V5, Ciumbuleuit",-6.864995700000001,107.6047471,Unknown,Unknown
Klinik Gigi dan Mulut : Klinik Orthodontie dan Bedah Mulut,"4JP3+2V5, Ciumbuleuit",-6.864995700000001,107.6047471,Unknown,Unknown
Paviliun Firdaus Buana 9,"Jalan Ciumbuleuit No.203, Ciumbuleuit",-6.8647322,107.6049632,Unknown,Unknown
Puskesmas Dadali Ciumbuleuit,"4JM4+P67, Ciumbuleuit",-6.8657144,107.6055415,2.5,4
Puskesmas Dadali Ciumbuleuit,"4JM4+P67, Ciumbuleuit",-6.8657144,107.6055415,2.5,4
Gugun pijat,"4JQF+QW8, Jalan Dago, bengkok, Ciumbuleuit",-6.860592,107.624838,Unknown,Unknown
Klinik Bedah Umum,"4JP3+2V5, Ciumbuleuit",-6.864995700000001,107.6047471,3,2
Ruang Gelatik (Perawatan Pasien Pasca Bedah),"4JP3+2V5, Ciumbuleuit",-6.864995700000001,107.6047471,5,1
Ruang ICU/ICCU (Perawatan Intensif),"4JP3+2V5, Ciumbuleuit",-6.864995700000001,107.6047471,Unknown,Unknown
Klinik Saraf,"4JP3+2V5, Ciumbuleuit",-6.864995700000001,107.6047471,Unknown,Unknown
Klinik Gigi dan Mulut : Klinik Orthodontie dan Bedah Mulut,"4JP3+2V5, Ciumbuleuit",-6.864995700000001,107.6047471,Unknown,Unknown
Puskesmas Dadali Ciumbuleuit,"4JM4+P67, Ciumbuleuit",-6.8657144,107.6055415,2.5,4
Balai Pengobatan Unpar,"Jalan Menjangan No.3, Ciumbuleuit",-6.873831399999999,107.6058955,5,1
Balai Pengobatan Unpar,"Jalan Menjangan No.3, Ciumbuleuit",-6.873831399999999,107.6058955,5,1
